time,sign,action,risk,weather,hour
2026-03-11 11:59:28.103142,Round-About,MONITOR,0.4,Clear,11
2026-03-11 11:59:28.359589,Round-About,MONITOR,0.4,Clear,11
2026-03-11 11:59:29.631742,Round-About,MONITOR,0.4,Clear,11
2026-03-11 11:59:29.631742,Round-About,MONITOR,0.4,Clear,11
2026-03-11 11:59:31.146526,Round-About,MONITOR,0.4,Clear,11
2026-03-11 11:59:31.402484,Round-About,MONITOR,0.4,Clear,11
2026-03-11 11:59:31.402484,Round-About,MONITOR,0.4,Clear,11
2026-03-11 11:59:32.703595,Round-About,MONITOR,0.4,Clear,11
2026-03-11 11:59:33.225434,Round-About,MONITOR,0.4,Clear,11
2026-03-11 11:59:33.744490,Round-About,MONITOR,0.4,Clear,11
2026-03-11 11:59:33.990493,Round-About,MONITOR,0.4,Clear,11
2026-03-11 11:59:34.233163,Round-About,MONITOR,0.4,Clear,11
2026-03-11 11:59:34.233163,Round-About,MONITOR,0.4,Clear,11
2026-03-11 11:59:35.000674,Round-About,MONITOR,0.4,Clear,11
2026-03-11 11:59:35.492601,Round-About,MONITOR,0.4,Clear,11
2026-03-11 11:59:36.522156,Round-About,MONITOR,0.4,Clear,11
2026-03-11 11:59:36.777822,Round-About,MONITOR,0.4,Clear,11
2026-03-11 11:59:37.035577,Round-About,MONITOR,0.4,Clear,11
2026-03-11 11:59:37.557434,Round-About,MONITOR,0.4,Clear,11
2026-03-11 11:59:37.558453,Round-About,MONITOR,0.4,Clear,11
2026-03-11 11:59:37.806667,Round-About,MONITOR,0.4,Clear,11
2026-03-11 11:59:38.301018,Round-About,MONITOR,0.4,Clear,11
2026-03-11 11:59:38.302018,Round-About,MONITOR,0.4,Clear,11
2026-03-11 11:59:38.556317,Round-About,MONITOR,0.4,Clear,11
2026-03-11 11:59:39.322106,Round-About,MONITOR,0.4,Clear,11
2026-03-11 11:59:39.831336,Round-About,MONITOR,0.4,Clear,11
2026-03-11 11:59:39.831336,Round-About,MONITOR,0.4,Clear,11
2026-03-11 11:59:40.601955,Round-About,MONITOR,0.4,Clear,11
2026-03-11 11:59:40.871772,Round-About,MONITOR,0.4,Clear,11
2026-03-11 11:59:42.120748,Round-About,MONITOR,0.4,Clear,11
2026-03-11 11:59:43.443482,no_waiting,MONITOR,0.4,Clear,11
2026-03-11 11:59:56.318707,Round-About,MONITOR,0.4,Clear,11
2026-03-11 12:00:07.244095,Round-About,MONITOR,0.4,Clear,12
2026-03-11 12:00:10.586045,Round-About,MONITOR,0.4,Clear,12
2026-03-11 12:00:12.710238,Round-About,MONITOR,0.4,Clear,12
2026-03-11 12:00:13.534027,Round-About,MONITOR,0.4,Clear,12
